Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Doxorubicina,DOXORUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,DOXORUBICINA*1 flacone EV 200 mg 100 ml 2 mg/ml,222 68,134 93,-,SANDOZ SpA,034879041,ALY,
Doxorubicina,DOXORUBICINA 10MG 5ML 5 UNITA' USO PARENTERALE,DOXORUBICINA*5 flaconcini 10 mg/5 ml 2 mg/ml,74 46,45 12,-,SANDOZ SpA,034879054,ALX,
Levodopa/carbidopa,LEVODOPA+CARBIDOPA 20MG/ML + 5MG/ML 100ML 7 UNITA' USO INTESTINALE,DUODOPA*7 sacche gel intestinale 100 ml 20 mg/ml + 5 mg/ml,1.126 05,682 29,-,ABBVIE Srl,036885010,BCS,
Tossina botulinica di clostridium botulinum Tipo A,TOSSINA BOTULINICA DI CLOSTRIDIUM BOTULINUM TIPO A 500U 2 UNITA' USO PARENTERALE,DYSPORT*2 fiale IM SC 500 U,771 45,350 65,-,IPSEN SpA,028362022,BNO,
Urapidil,URAPIDIL 50MG 10ML 5 UNITA' USO PARENTERALE,EBRANTIL*5 fiale EV 50 mg 10 ml,22 45,13 60,-,TAKEDA ITALIA SpA,026563080,BOI,
Anidulafungina,ANIDULAFUNGINA 100MG 30ML 1 UNITA' USO PARENTERALE,ECALTA*1 flaconcino EV 100 mg 30 ml,625 42,378 95,-,PFIZER ITALIA Srl,038382026,AEJ,
Rilpivirina,RILPIVIRINA 25MG 30 UNITA' USO ORALE,EDURANT*30 cpr riv 25 mg flacone,407 31,246 80,-,JANSSEN CILAG SpA,041664018,BJE,
Efavirenz,EFAVIRENZ 600MG 30 UNITA' USO ORALE,EFAVIRENZ*30 cpr riv 600 mg,264 76,160 42,-,MYLAN SpA,041257015,AML,
Efavirenz,EFAVIRENZ 600MG 30 UNITA' USO ORALE,EFAVIRENZ*30 cpr riv 600 mg,264 76,160 42,-,SANDOZ SpA,041913031,AML,
Efavirenz,EFAVIRENZ 600MG 30 UNITA' USO ORALE,EFAVIRENZ*30 cpr riv 600 mg,264 76,160 42,-,TEVA ITALIA Srl,043172028,AML,
Fluoro-18F-desossiglucosio,FLUORO-18F-DESOSSIGLUCOSIO 1GBQ/ML 11ML 1 UNITA' USO PARENTERALE,EFDEGE*1 flaconcino multid 11 ml 1 GBq/ml,-,-,-,IASON GmbH,036751016,ARM,
Idursulfasi,IDURSULFASI 6MG 3ML 1 UNITA' USO PARENTERALE,ELAPRASE*1 flaconcino EV 3 ml 2 mg/ml,4.356 75,2.639 81,-,SHIRE ITALIA SpA,039403011,ATX,
Fluconazolo,FLUCONAZOLO 100MG 50ML 1 UNITA' USO PARENTERALE,ELAZOR*1 flaconcino 100 mg 50 ml,18 60,8 46,-,AVANTGARDE (Gruppo SIGMA-TAU),027268034,AQM,
Vindesina,VINDESINA 5MG 1 UNITA' USO PARENTERALE,ELDISINE*1 flaconcino EV 5 mg polv,187 57,85 26,-,CRINOS SpA,025289024,BPR,
Sodio Cloruro/Potassio Acetato/Potassio Fosfato Bibasico/Magnesio Solfato Eptaidrato/Calcio Gluconato Monoidrato/Glucosio Monoidrato,ELETTROLITICA REIDRATANTE CON GLUCOSIO E CALCIO GLUCONATO 2.000ML 6 UNITA' USO PARENTERALE,ELETTROLITICA REIDRATANTE CON GLUCOSIO E CALCIO GLUCONATO*6 sacche EV 2.000 ml,47 07,21 39,-,FRESENIUS KABI ITALIA Srl,031379100,AMN,
Pimecrolimus,PIMECROLIMUS 1% 30G CREMA USO DERMATOLOGICO,ELIDEL*crema derm 30 g 1%,39 34,23 84,-,MEDA PHARMA SpA,036006029,BHV,
Citalopram,CITALOPRAM 40MG 1ML 10 UNITA' USO PARENTERALE,ELOPRAM*10 fiale EV 40 mg 1 ml,86 21,39 19,-,LUNDBECK ITALIA SpA,028681043,AIX,
Oxaliplatino,OXALIPLATINO 100MG 20ML 1 UNITA' USO PARENTERALE,ELOXATIN*1 flacone EV 100 mg 20 ml 5 mg/ml,581 77,352 50,-,SANOFI SpA,034411049,BGP,
Oxaliplatino,OXALIPLATINO 200MG 40ML 1 UNITA' USO PARENTERALE,ELOXATIN*1 flacone EV 200 mg 40 ml 5 mg/ml,814 46,493 50,-,SANOFI SpA,034411052,BGR,
Oxaliplatino,OXALIPLATINO 50MG 10ML 1 UNITA' USO PARENTERALE,ELOXATIN*1 flacone EV 50 mg 10 ml 5 mg/ml,290 87,176 29,-,SANOFI SpA,034411037,BGS,
Poligelina,POLIGELINA 3 5% 500ML 1 UNITA' USO PARENTERALE,EMAGEL*1 flacone EV 500 ml 3 5%,7 41,3 36,-,PIRAMAL HEALTHCARE UK LIMITED,020310025,BII,
Poligelina,POLIGELINA 17 5G 14 UNITA' USO PARENTERALE,EMAGEL*14 flaconi EV 500 ml 35 g/l,77 78,47 13,-,PIRAMAL HEALTHCARE UK LIMITED,020310037,BQZ,
Aprepitant,APREPITANT 125MG 1 UNITA' + 80 MG 2 UNITA' USO ORALE,EMEND*1 cps 125 mg + 2 cps 80 mg,88 77,53 79,-,MSD ITALIA Srl,036167068,AEP,
Ondansetrone,ONDANSETRONE 4MG 5 UNITA' USO PARENTERALE,EMISTOP*5 fiale 2 ml 2 mg/ml,23 54,14 26,-,CLARIS LIFESCIENCES UK Ltd,039341019,BGM,
Ondansetrone,ONDANSETRONE 8MG 5 UNITA' USO PARENTERALE,EMISTOP*5 fiale 4 ml 2 mg/ml,47 44,28 75,-,CLARIS LIFESCIENCES UK Ltd,039341021,BGO,
Emtricitabina,EMTRICITABINA 200MG 30 UNITA' USO ORALE,EMTRIVA*30 cps 200 mg flacone,266 54,161 50,-,GILEAD SCIENCES Srl,036585026,AMS,
Emtricitabina,EMTRICITABINA 10MG/ML 170ML USO ORALE,EMTRIVA*os soluz 170 ml 10 mg/ml,75 02,45 46,-,GILEAD SCIENCES Srl,036585014,AMR,
Etanercept,ETANERCEPT 10MG 1ML 4 UNITA' USO PARENTERALE,"ENBREL*""BB"" 10 flaconcini SC 10 mg + 4 flaconcini 1 ml + 8 tamponi",320 01,193 90,-,PFIZER ITALIA Srl,034675215,EMI,
Etanercept,ETANERCEPT 25MG 1ML 4 UNITA' USO PARENTERALE,"ENBREL*""BB"" 4 flaconcini SC 1 ml 25 mg/ml + 4 siringhe solv",800 02,484 75,-,PFIZER ITALIA Srl,034675165,APJ,
Etanercept,ETANERCEPT 25MG 1ML 4 UNITA' USO PARENTERALE,ENBREL*4 flaconcini SC 25 mg + 4 siringhe 1 ml,800 02,484 75,-,PFIZER ITALIA Srl,034675037,APJ,
Etanercept,ETANERCEPT 50MG 1ML 4 UNITA' USO PARENTERALE,ENBREL*4 penne SC 50 mg 1 ml + 8 tamponi,1.600 07,969 49,-,PFIZER ITALIA Srl,034675191,APK,
Etanercept,ETANERCEPT 25MG 0 5ML 4 UNITA' USO PARENTERALE,ENBREL*4 siringhe SC 25 mg 0 5 ml + 8 tamponi,800 02,484 75,-,PFIZER ITALIA Srl,034675102,API,
Etanercept,ETANERCEPT 50MG 1ML 4 UNITA' USO PARENTERALE,ENBREL*4 siringhe SC 50 mg 1 ml + 8 tamponi,1.600 05,969 49,-,PFIZER ITALIA Srl,034675140,APK,
Ciclofosfamide,CICLOFOSFAMIDE 1.000MG 1 UNITA' USO PARENTERALE,ENDOXAN*1 flaconcino 1 g polv,17 70,10 73,-,BAXTER SpA,015628086,AID,
Ciclofosfamide,CICLOFOSFAMIDE 500MG 1 UNITA' USO PARENTERALE,ENDOXAN*1 flaconcino 500 mg polv,11 13,6 75,-,BAXTER SpA,015628074,AIE,
Eparina sodica,EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE,EPARINA SODICA*10 fiale EV 25.000 UI 5 ml,53 62,32 49,-,ATHENA PHARMA ITALIA Srl,033277031,AMZ,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,EPIRUBICINA AHCL*1 flaconcino 10 mg 5 ml 2 mg/ml,19 66,11 91,-,ACCORD HEALTHCARE ITALIA Srl,039244013,ANJ,
Epirubicina,EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,EPIRUBICINA AHCL*1 flaconcino 200 mg 100 ml 2 mg/ml,330 96,200 54,-,ACCORD HEALTHCARE ITALIA Srl,039244049,ANL,
Epirubicina,EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,EPIRUBICINA AHCL*1 flaconcino 50 mg 25 ml 2 mg/ml,81 18,49 19,-,ACCORD HEALTHCARE ITALIA Srl,039244037,ANM,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 10 mg 5 ml 2 mg/ml,19 66,11 91,-,HOSPIRA ITALIA Srl,037227055,ANJ,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 10 mg 5 ml 2 mg/ml,19 66,11 91,-,SANDOZ SpA,038462014,ANJ,
Epirubicina,EPIRUBICINA 100MG 50ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 100 mg 50 ml 2 mg/ml,165 48,100 27,-,SANDOZ SpA,038462077,ANI,
Epirubicina,EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 100 ml 2 mg/ml,330 96,200 54,-,TEVA ITALIA Srl,039000056,ANL,
Epirubicina,EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 200 mg 100 ml 2 mg/ml,330 96,200 54,-,HOSPIRA ITALIA Srl,037227081,ANL,
Epirubicina,EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 200 mg 100 ml 2 mg/ml,330 96,200 54,-,SANDOZ SpA,038462103,ANL,
Epirubicina,EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 25 ml 2 mg/ml,81 18,49 19,-,TEVA ITALIA Srl,039000031,ANM,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 5 ml 2 mg/ml,19 66,11 91,-,TEVA ITALIA Srl,039000017,ANJ,
Epirubicina,EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 50 mg 25 ml 2 mg/ml,81 18,49 19,-,HOSPIRA ITALIA Srl,037227067,ANM,
Epirubicina,EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,EPIRUBICINA*1 flaconcino 50 mg 25 ml 2 mg/ml,81 18,49 19,-,SANDOZ SpA,038462040,ANM,
Epirubicina,EPIRUBICINA 10MG 5ML 5 UNITA' USO PARENTERALE,EPIRUBICINA*5 flaconcini 10 mg 5 ml 2 mg/ml,98 29,59 57,-,SANDOZ SpA,038462026,ANK,
Lamivudina,LAMIVUDINA 300MG 30 UNITA' USO ORALE,EPIVIR*30 cpr riv 300 mg flacone,230 59,139 73,-,VIIV HEALTHCARE Srl,031984038,BCH,
Lamivudina,LAMIVUDINA 150MG 60 UNITA' USO ORALE,EPIVIR*60 cpr riv 150 mg flacone,173 00,104 82,-,VIIV HEALTHCARE Srl,031984026,BCG,
Lamivudina,LAMIVUDINA 10MG/ML 240ML USO ORALE,EPIVIR*os soluz 240 ml 10 mg/ml,46 43,28 13,-,VIIV HEALTHCARE Srl,031984014,BCF,
Epoprostenolo,EPOPROSTENOLO 0 5MG 1 UNITA' USO PARENTERALE,EPOPROSTENOLO*1 flaconcino EV 0 5 mg + 1 flaconcino solv 50 ml + 1 filtro sterile,109 61,66 41,-,PH&T SpA,040559015,AOK,
Epoprostenolo,EPOPROSTENOLO 1 5MG 1 UNITA' USO PARENTERALE,EPOPROSTENOLO*1 flaconcino EV 1 5 mg + 2 flaconcini solv 50 ml + 1 filtro sterile,188 00,113 91,-,PH&T SpA,040559039,AOL,
Epoetina Teta,EPOETINA TETA 1.000UI 6 UNITA' USO PARENTERALE,EPORATIO*6 siringhe 1.000 UI 0 5 ml con dispositivo di sicurezza,84 37,51 12,-,TEVA ITALIA Srl,039474022,ANW,
Epoetina Teta,EPOETINA TETA 2.000UI 6 UNITA' USO PARENTERALE,EPORATIO*6 siringhe 2.000 UI 0 5 ml con dispositivo di sicurezza,168 85,102 31,-,TEVA ITALIA Srl,039474046,ANX,
Epoetina Teta,EPOETINA TETA 3.000UI 6 UNITA' USO PARENTERALE,EPORATIO*6 siringhe 3.000 UI 0 5 ml con dispositivo di sicurezza,252 92,153 24,-,TEVA ITALIA Srl,039474061,ANY,
Epoetina Teta,EPOETINA TETA 4.000UI 6 UNITA' USO PARENTERALE,EPORATIO*6 siringhe 4.000 UI 0 5 ml con dispositivo di sicurezza,337 37,204 42,-,TEVA ITALIA Srl,039474085,ANZ,
Epoetina Teta,EPOETINA TETA 5.000UI 6 UNITA' USO PARENTERALE,EPORATIO*6 siringhe 5.000 UI 0 5 ml con dispositivo di sicurezza,421 65,255 48,-,TEVA ITALIA Srl,039474109,AOB,
Eparina sodica,EPARINA SODICA 25.000UI 1 UNITA' USO PARENTERALE,EPSOCLAR 25000*1 flacone EV 25.000 UI/5 ml 5 ml,7 24,4 39,-,HOSPIRA ITALIA Srl,030705038,78B,
Eparina sodica,EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE,EPSOCLAR*10 fiale EV 25.000 UI 5 ml,53 62,32 49,-,HOSPIRA ITALIA Srl,030705026,AMZ,
Eparina sodica,EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE,EPSOCLAR*10 flaconi EV 25.000 UI/5 ml 5 ml,53 62,32 49,-,HOSPIRA ITALIA Srl,030705040,AMZ,
Eparina sodica,EPARINA SODICA 250UI 10 UNITA' USO PARENTERALE,EPSODILAVE*10 fiale 250 UI 5 ml,6 55,2 98,-,HOSPIRA ITALIA Srl,034630018,ANF,
Eparina sodica,EPARINA SODICA 300UI 10 UNITA' USO PARENTERALE,EPSODILAVE*10 fiale 300 UI 3 ml,6 55,2 98,-,HOSPIRA ITALIA Srl,034630020,ANG,
Eparina sodica,EPARINA SODICA 500UI 10 UNITA' USO PARENTERALE,EPSODILAVE*10 fiale 500 UI 2 ml,6 55,2 98,-,HOSPIRA ITALIA Srl,034630032,ANH,
Metadone,METADONE 10MG 1ML 5 UNITA' USO PARENTERALE,EPTADONE*5 fiale IM 10 mg 1 ml,2 94,1 34,-,MOLTENI & C. F.LLI ALITTI SpA,006105011,BDV,
Cetuximab,CETUXIMAB 100MG 20ML 1 UNITA' USO PARENTERALE,ERBITUX*1 flaconcino infus 20 ml 5 mg/ml,296 41,179 60,-,MERCK SERONO SpA,036584035,AHY,
Vismodegib,VISMODEGIB 150MG 28 UNITA' USO ORALE,ERIVEDGE*28 cps 150 mg flacone,11.022 19,6.678 50,-,ROCHE SpA,042881019,CGW,
Pirfenidone,PIRFENIDONE 267MG 252 UNITA' USO ORALE,ESBRIET*252 cps 267 mg,3.979 31,2.411 10,-,ROCHE SpA,041271026,UWB,
Pirfenidone,PIRFENIDONE 267MG 63 UNITA' USO ORALE,ESBRIET*63 cps 267 mg,994 83,602 78,-,ROCHE SpA,041271014,UWA,
Rocuronio,ROCURONIO 100MG 10ML 10 UNITA' USO PARENTERALE,ESMERON*10 fiale EV 10 ml 10 mg/ml,191 95,87 25,-,MSD ITALIA Srl,029209044,BJN,
Rocuronio,ROCURONIO 50MG 5ML 10 UNITA' USO PARENTERALE,ESMERON*10 flaconcini EV 5 ml 10 mg/ml,69 98,42 40,-,MSD ITALIA Srl,029209057,BJO,
Esomeprazolo,ESOMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,ESOMEPRAZOLO*1 flaconcino polv 40 mg 5 ml,6 43,3 90,-,SUN PHARMACEUTICALS ITALIA Srl,040438018,APF,
Esomeprazolo,ESOMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,ESOPRAL*1 flaconcino EV 40 mg,8 58,5 20,-,BRACCO SpA DIV.FARMACEUTICA,035433539,APF,
Amifostina,AMIFOSTINA 500MG 3 UNITA' USO PARENTERALE,ETHYOL*3 flaconcini polv EV 500 mg 50 mg/ml,839 29,381 49,-,CLINIGEN HEALTHCARE LTD,030725016,ACQ,
Etoposide,ETOPOSIDE 100MG 5ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 fiala 100 mg 5 ml 20 mg/ml,11 70,7 10,-,TEVA ITALIA Srl,034410011,APN,
Etoposide,ETOPOSIDE 200MG 10ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 fiala 200 mg 10 ml 20 mg/ml,21 23,12 87,-,TEVA ITALIA Srl,034410023,APO,
Etoposide,ETOPOSIDE 1.000MG 50ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 flaconcino 1.000 mg 50 ml 20 mg/ml,101 87,61 72,-,TEVA ITALIA Srl,034410050,APM,
Etoposide,ETOPOSIDE 1.000MG 50ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 flacone EV 1.000 mg 50 ml 20 mg/ml,101 87,61 72,-,SANDOZ SpA,036622049,APM,
Etoposide,ETOPOSIDE 100MG 5ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 flacone EV 100 mg 5 ml 20 mg/ml,11 70,7 10,-,SANDOZ SpA,036622013,APN,
Etoposide,ETOPOSIDE 200MG 10ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 flacone EV 200 mg 10 ml 20 mg/ml,21 23,12 87,-,SANDOZ SpA,036622025,APO,
Etoposide,ETOPOSIDE 400MG 20ML 1 UNITA' USO PARENTERALE,ETOPOSIDE*1 flacone EV 400 mg 20 ml 20 mg/ml,42 48,25 74,-,SANDOZ SpA,036622037,APP,
Succinilgelatina,SUCCINILGELATINA 20G 500ML 1 UNITA' USO PARENTERALE,EUFUSIN*1 flacone EV 20 g 500 ml,7 54,3 43,-,MEDACTA ITALIA Srl,022200012,BLH,
Proteina coagulabile umana/trombina umana,PROTEINA COAGULABILE UMANA+TROMBINA UMANA 1ML 2 UNITA' USO EPILESIONALE,EVICEL*2 flaconcini uso epilesionale 1 ml 50-90 mg/ml + 800-1200 UI/ml,111 76,67 72,100 59,OMRIX BIOPHARMACEUTICALS S.A.,039591019,BIU,
Proteina coagulabile umana/trombina umana,PROTEINA COAGULABILE UMANA+TROMBINA UMANA 2ML 2 UNITA' USO EPILESIONALE,EVICEL*2 flaconcini uso epilesionale 2 ml 50-90 mg/ml + 800-1200 UI/ml,197 54,119 69,177 79,OMRIX BIOPHARMACEUTICALS S.A.,039591021,BIV,
Proteina coagulabile umana/trombina umana,PROTEINA COAGULABILE UMANA+TROMBINA UMANA 5ML 2 UNITA' USO EPILESIONALE,EVICEL*2 flaconcini uso epilesionale 5 ml 50-90 mg/ml + 800-1200 UI/ml,503 08,304 82,452 77,OMRIX BIOPHARMACEUTICALS S.A.,039591033,BIW,
Emtricitabina/rilpivirina/tenofovir disoproxil,EMTRICITABINA+RILPIVIRINA+TENOFOVIR 25MG+200MG+245MG 30 UNITA' USO ORALE,EVIPLERA*30 cpr riv 25 mg + 200 mg + 245 mg flacone,1.085 03,657 44,-,GILEAD SCIENCES Srl,041711019,AMT,
Clofarabina,CLOFARABINA 20MG 20ML 4 UNITA' USO PARENTERALE,EVOLTRA*4 flaconcini EV 20 mg 20 ml 1 mg/ml,9.979 63,6.046 75,-,GENZYME Srl,037409012,AJK,
Fluconazolo,FLUCONAZOLO 100MG 50ML 1 UNITA' USO PARENTERALE,EXOMAX*1 flaconcino 50 ml 2 mg/ml,9 08,5 50,-,CLARIS LIFESCIENCES UK Ltd,038441010,AQM,
Fluconazolo,FLUCONAZOLO 400MG 200ML 1 UNITA' USO PARENTERALE,EXOMAX*1 flacone 200 ml 2 mg/ml,33 18,20 11,-,CLARIS LIFESCIENCES UK Ltd,038441034,AQU,
Fluconazolo,FLUCONAZOLO 200MG 100ML 1 UNITA' USO PARENTERALE,EXOMAX*1 flacone EV 100 ml 2 mg/ml,16 45,9 97,-,CLARIS LIFESCIENCES UK Ltd,038441022,AQQ,
C-13 Urea,C-13 UREA 100MG 1 UNITA' USO ORALE,EXPIROBACTER*1 cpr 100 mg,40 32,18 33,-,SOFAR SpA,034183018,BOJ,
C-13 Urea,C-13 UREA 100MG 1 UNITA' USO ORALE,EXPIROBACTER*1 cpr solub 100 mg,40 32,18 33,-,SOFAR SpA,034183020,BOJ,
Aflibercept,AFLIBERCEPT 3 6MG 40MG/ML 1 UNITA' USO INTRAVITREALE,EYLEA*1 flaconcino intravitreale 3 6 mg 40 mg/ml,1.102 23,667 85,-,BAYER SpA,042510026,CDY,
Agalsidasi Beta,AGALSIDASI BETA 35MG 1 UNITA' USO PARENTERALE,FABRAZYME*1 flaconcino EV 35 mg,5.079 38,3.077 67,-,GENZYME Srl,035275015,ACP,
Dimetildidecilammonio cloruro,DIMETILDIDECILAMMONIO CLORURO 0 175% 1.000ML 12 UNITA' USO ESTERNO,FARMASEPT*soluz cutanea 12 flaconi 1 lt 0 175%,92 06,55 77,-,NUOVA FARMEC Srl,035299066,ALC,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,FARMORUBICINA*1 fiala EV 10 mg + 1 fiala solv 5 ml,29 44,13 39,-,PFIZER ITALIA Srl,025197031,ANJ,
Epirubicina,EPIRUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE,FARMORUBICINA*1 flacone 10 mg 5 ml,37 81,17 19,-,PFIZER ITALIA Srl,025197068,ANJ,
Epirubicina,EPIRUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE,FARMORUBICINA*1 flacone 50 mg 25ml,155 67,70 76,-,PFIZER ITALIA Srl,025197070,ANM,
Epirubicina,EPIRUBICINA 50MG 1 UNITA' USO PARENTERALE,FARMORUBICINA*1 flacone EV 50 mg polv,119 68,54 41,-,PFIZER ITALIA Srl,025197043,79A,
Epirubicina,EPIRUBICINA 200MG 100ML 1 UNITA' USO PARENTERALE,FARMORUBICINA*1 flacone infus EV 200 mg 100 ml,630 10,286 41,-,PFIZER ITALIA Srl,025197082,ANL,
Clorexidina gluconato/cetrimide,CLOREXIDINA+CETRIMIDE 1 5+15% 1.000ML 12 UNITA' USO ESTERNO,FARVICETT*soluz cutanea 12 flaconi 1 lt 1 5% + 15%,153 79,93 19,-,NUOVA FARMEC Srl,032644066,AJT,
Clorexidina gluconato/cetrimide,CLOREXIDINA+CETRIMIDE 1 5+15% 20ML 400 UNITA' USO ESTERNO,FARVICETT*soluz cutanea 400 bust 20 ml 1 5% + 15%,306 85,185 92,-,NUOVA FARMEC Srl,032644054,AJU,
Fulvestrant,FULVESTRANT 250MG 5ML 1 UNITA' USO PARENTERALE,FASLODEX*1 siringa IM 5 ml + 1 ago,595 79,361 00,-,ASTRAZENECA SpA,036387013,ASD,
Fulvestrant,FULVESTRANT 250MG 5ML 2 UNITA' USO PARENTERALE,FASLODEX*IM 2 siringhe 5 ml + 2 aghi,1.191 59,722 00,-,ASTRAZENECA SpA,036387025,ASE,
Adrenalina,ADRENALINA 165MCG 2 05ML 2 UNITA' USO PARENTERALE,FASTJEKT*2 siringhe IM 165 mcg 2 05 ml,140 20,84 95,-,MEDA PHARMA SpA,028505042,ACK,
Adrenalina,ADRENALINA 330MCG 2 05ML 2 UNITA' USO PARENTERALE,FASTJEKT*2 siringhe IM 330 mcg 2 05 ml,140 20,84 95,-,MEDA PHARMA SpA,028505030,ACN,
Adrenalina,ADRENALINA 330MCG 0 30ML 1 UNITA' USO PARENTERALE,FASTJEKT*AD 1 siringa IM 0 33 mg 2 05 ml,77 90,47 20,-,MEDA PHARMA SpA,028505016,ACM,
Adrenalina,ADRENALINA 165MCG 0 30ML 1 UNITA' USO PARENTERALE,FASTJEKT*BB 1 siringa IM 0 165 mg 2 05 ml,77 90,47 20,-,MEDA PHARMA SpA,028505028,ACJ,
Fenitoina,FENITOINA 250MG 5ML 5 UNITA' USO PARENTERALE EV,FENITOINA*5 fiale EV 5 ml 250 mg,16 76,10 16,-,HIKMA FARMACEUTICA S.A.,038935019,APX,
Fentanil,FENTANIL 0 1MG 2ML 5 UNITA' USO PARENTERALE IM EV,FENTANEST*5 fiale EV IM 0 1 mg 2 ml,3 14,1 90,-,PFIZER ITALIA Srl,020473029,AQF,
Fentanil,FENTANIL 0 1MG 2ML 5 UNITA' USO PARENTERALE EV,FENTANYL*5 fiale EV 100 mcg 2 ml,2 51,1 52,-,HAMELN PHARMACEUTICALS GmbH,035693011,AQE,
Carbossimaltosio ferrico,CARBOSSIMALTOSIO FERRICO 50MG/ML 10ML 1 UNITA' USO PARENTERALE,FERINJECT*1 flaconcino EV 10 ml 50 mg/ml,135 55,82 13,-,VIFOR FRANCE S.A.,040251035,CLY,
Carbossimaltosio ferrico,CARBOSSIMALTOSIO FERRICO 50MG/ML 2ML 5 UNITA' USO PARENTERALE,FERINJECT*5 flaconcini EV 2 ml 50 mg/ml,135 55,82 13,-,VIFOR FRANCE S.A.,040251023,CLZ,
Sodio ferrigluconato,SODIO FERRIGLUCONATO 62 5MG 5ML 5 UNITA' USO PARENTERALE O ORALE,FERLIXIT*5 fiale OS EV 62 5 mg 5 ml,6 50,3 93,-,SANOFI SpA,021455023,BKN,
Ceftriaxone,CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV,FIDATO*1 fiala EV 1 g + fiala solv 10 ml,7 44,4 50,-,FIDIA FARMACEUTICI SpA,035867047,AHU,
Ceftriaxone,CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE EV,FIDATO*1 flacone EV 2 g,14 95,9 06,-,FIDIA FARMACEUTICI SpA,035867050,AHW,
Icatibant,ICATIBANT 30MG 3ML 1 UNITA' USO PARENTERALE,FIRAZYR*1 siringa SC 30 mg 3 ml 10 mg/ml,2.524 70,1.529 74,-,SHIRE ITALIA SpA,038631014,ATT,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 10G 100ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 100 ml 100 mg/ml,831 80,504 00,-,GRIFOLS ITALIA SpA,040267078,AUY,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 100 ml 50 mg/ml,415 90,252 00,-,GRIFOLS ITALIA SpA,040267039,AVR,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 20G 200ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 200 ml 100 mg/ml,1.663 60,1.008 00,-,GRIFOLS ITALIA SpA,040267080,AVL,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 200 ml 50 mg/ml,831 80,504 00,-,GRIFOLS ITALIA SpA,040267041,AVC,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 20G 400ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 400 ml 50 mg/ml,1.663 60,1.008 00,-,GRIFOLS ITALIA SpA,040267054,BQP,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 5G 50ML 1 UNITA' USO PARENTERALE,FLEBOGAMMA DIF*1 flacone EV 50 ml 100 mg/ml,415 90,252 00,-,GRIFOLS ITALIA SpA,040267066,AVS,
